txt_path	label	text
Advertisement/0000136188.txt	Advertisement	mpertant sesiye teaetered cabiieess baely doesn’ keow bitton aau-fotne resin syste cant viduiiliy crafted parenter tiott eapennese liste siichinng holimars costlicr course oetenined wainy hoel marg féme eager hizon 6p9s70099
Advertisement/0000435350.txt	Advertisement	fitm m66400 7127 kools cigarettes taste good cold taste even better don't k-2978 ‘mevapapars—300 iner—mareh april 1956 ines pinel proof march 1956
Advertisement/0000556056.txt	Advertisement	vending operators columns worth per_machine year fixed compensation that's right bizer profits here's payment achedule inchndes belair —thelight menthal cigarette famons leigh coupon estunm each bere's mach yoet yermachine year wider thistew contract yiceroy kool filter raleigh filter belair cite coeteee vicerov kool falter wetair vicerov kool filer raleigh vicrroy kool filler plus bonus profit sales every carton raleigh ight menthol belatr aarettes earries boas strip coupora—as shown above strip worth three sents much mare used premium domes profits additional informetion writs sales 'browe williamson tebuccs cory example machine cole pack raleigh filters belair aoranlste exrton strips raleigh coupons yearlysownrth cash bonus profit jost machine loniaviter c1988 brown williaheson toracco conporetion eran mark lucy falavew phodects
Advertisement/0030048095.txt	Advertisement	march tersrearep ills weisais cere tars ined nrarin aoronnnnt
Advertisement/0030048989.txt	Advertisement	spend milder moment raleigh special treatment softens tobaccos milder taste look closely power 35mm kings center focus bushnell binoculars field 345° 1000 yards carrying case aings free coupons valuable extra every pack raleigh 1000 gifts write free gift catalog laursville 40201 surgeon general determined sdtrer kings cote lorgs cigarette smoking dangerous health ntcor cigaresi2 revart sept true january 1974 cover
Advertisement/0030049569.txt	Advertisement	onrel ules tales lowered lots taste compare taste soln rgeon general smoking dangerous dene december 1973
Advertisement/03496270.txt	Advertisement	‘with talk smoking decided either quit smoke
Advertisement/03567810.txt	Advertisement	buiseaut --uoanyf sanosdun liyl adpuloy load 9ng- rprakean abqoulde jose] many
Advertisement/03722789.txt	Advertisement	that’s newspapel that's said body else caught never caug slide he’d doped investigate foot newspapers said looked noticed this it-was kent menthol menthol famous micronite filter warning surgeon general determined cigarette smoking dangerous health you've s'the more find anything stuff fello house body yet—or but_a think ”-spened 68le2le0
Advertisement/04102204.txt	Advertisement	brown william marfan frabee csa/supermarkets 1/78 lost there's faz’ menthol offers truly satisfying toste kool
Advertisement/04106546.txt	Advertisement	oi4¥o gdomous s4ouiz e4ohouis s434 1bwidd sods noaun> yipsvoivo sods fvlfpa ainvd
Advertisement/04233037_04233039.txt	Advertisement	draft advertisement without extra smokers could faced increase nearly issued tobacco advisory council speaking forsmokers glen house stag place london swie5ag
Advertisement/04412344.txt	Advertisement	another development lorillard research kent’s micronite” filter reduces phenol well tars nicotine cigarette smoke lorillard research scientists constantly probing’ ways improve filtering action micronite” filter incorporated filter additive that selectively reduces phenol smoke kent ciga- rette isin addition kent’s nicotine reduction reduction tars nicotine phenol 85mm kent cigarettes smoke kent msticronte’ iter component filter ctive afteri selective phenol filtration content nicotine phenol content developments like this are'why lorillard company first with finest filter cigarettes through lorillard research micronite filter used exclusively kent plestelvo
Advertisement/1002325458.txt	Advertisement	image available online material referenced associated index listing available minnesota tobacco document depository please website's home page additional information regarding depository
Advertisement/1002760819.txt	Advertisement	gear quite music thrust intensity even though much striking especially fide per- formance nana gollner medusa likely however under- goes action sharp- ened clarified tpat happened plenty ballets must been sta- son's longest’concert took place carnegie hallilast week leonard bernstein condt russian music _fecent compofitinn addition quantity orchestral music songs from lawrence tibbett maria kurenka russian choral soci- which directed lan-adomi- concert started cight- thirty with crisp performance pros kofieff’s classical syanphony” ended lang midnight first hearing town khatchatourian’s second symphony among features route bril- niane exhibition shostakavitch piano concerta staffi sergeant gene list soloist khatchatou- rian symphony length sound full good chestration prumising themes much seemed stretched well played proficient named orchestra bernstein's eapert direction large audience received enthusiasm even unwantedly late hour closing carnegie hall concert seasap kosten syme phony presented randill thompson's ‘testament freedom set- ting chorus orclestra four excerpts writings vhomas jetferson inclodious forth- righti music suspect ‘thompson wher attempted torcone vert jong sentences jetferson’s prose tite concerted song took prohtem could hardly salved complete success however sturdy imelodios dmely words jetfersen impressive sound asthey hlurvard glee cluhy conducted great ferver serge koussevitcks ‘there appeal testar ment freeda’ wall make adilitog repertory inany singing group —-rornerr simon chile placed west coast north carolina would reach sitka alaska point opposite mevico city —greensbora record andi would simply delighted discover urges keener pleasure really choice tobaccgs marlboro's tich rare blonth delightfulidifference merely penny more pvory tips beauty ties cigarette successlul lovely women 200t 6tso
Advertisement/1002761179.txt	Advertisement	lovap moan o-fot cigarette gets like—filter flavor flip-top works filter means business easy draw that’s flavor flip-top ends crushed cigarettes made richmond virginia prized recipe
Advertisement/1002761668.txt	Advertisement	burnett company 11h— page —sumday bewre newspapers 11lg8- casting fisherman” don’t settle back full-flavored smoke marlboro —the filter cigarette unfiltered taste think favor went filters came another smoke com- make marlboro delivers goods flavor always famous marlboro filter-flavor recipe gives man_a flavor draw and' mighty easy drawing sort nice know cigarette good comfortable smoke marlboro's exclusive selectrate filter make comfortable—have marlboro sking size sort piptoo ofle ‘martha lilte marlboro
